
I — я | I am here. | Я здесь.
he — он | He is my friend. | Он мой друг.
she — она | She is happy. | Она счастлива.
it — это | It is new. | Это новое.
we — мы | We are ready. | Мы готовы.
they — они | They are late. | Они опоздали.
me — мне | Give me a pen. | Дай мне ручку.
you — ты | You are kind. | Ты добр.
him — ему | Tell him tomorrow. | Скажи ему завтра.
us — нас | Join us now. | Присоединяйся к нам сейчас.
them — их | I see them. | Я вижу их.
my — мой | This is my book. | Это моя книга.
your — твой | Where is your bag? | Где твоя сумка?
her — её | Her car is red. | Её машина красная.
its — его | The cat licked its paw. | Кот лизнул свою лапу.
our — наш | Our house is big. | Наш дом большой.
their — их | Their dog is cute. | Их собака милая.
mine — мой | This seat is mine. | Это место моё.
yours — твой | The choice is yours. | Выбор за тобой.
his — его | That is his phone. | Это его телефон.
hers — её | The hat is hers. | Шляпа её.
ours — наш | Victory is ours! | Победа наша!
theirs — их | The plan was theirs. | План был их.
this — этот | This is easy. | Это легко.
all — все | All is well. | Всё хорошо.
first — первый | She was first. | Она была первой.
second — второй | I came second. | Я пришёл вторым.
third — третий | He lives on the third floor. | Он живёт на третьем этаже.
next — следующий | Next please! | Следующий, пожалуйста!
last — последний | This is the last one. | Это последний.
one — один | One is missing. | Не хватает одного.
two — два | Two are enough. | Двух достаточно.
three — три | We need three. | Нам нужно три.
four — четыре | Four chairs left. | Осталось четыре стула.
five — пять | Five ideas emerged. | Появилось пять идей.
six — шесть | The clock struck six. | Часы пробили шесть.
seven — семь | Seven days passed. | Прошло семь дней.
eight — восемь | He ate eight cookies. | Он съел восемь печений.
nine — девять | Nine people came. | Пришло девять человек.
ten — десять | Ten minutes left. | Осталось десять минут.
again — снова | Try again. | Попробуй снова.
always — всегда | She always smiles. | Она всегда улыбается.
never — никогда | Never give up. | Никогда не сдавайся.
another — другой | Give me another. | Дай мне другой.
other — другой | Other ways exist. | Существуют другие способы.
same — такой же | We have the same idea. | У нас та же идея.
different — другой | This is different. | Это другое.
a lot — много | I travel a lot. | Я много путешествую.
and — и | You and me. | Ты и я.
to — к | Go to bed. | Иди спать.
in — в | Stay in line. | Стой в очереди.
is — является | Time is money. | Время — деньги.
that — что | I know that. | Я знаю это.
was — был | He was tired. | Он был уставшим.
for — для | This gift is for you. | Этот подарок для тебя.
on — на | The book is on the table. | Книга на столе.
are — являются | Cats are quiet. | Кошки тихие.
as — как | Work as a team. | Работайте как команда.
with — с | Come with me. | Пойдём со мной.
at — в | Meet me at noon. | Встретимся в полдень.
be — быть | Be yourself. | Будь собой.
have — иметь | I have time. | У меня есть время.
from — от | Letter from Mom. | Письмо от мамы.
or — или | Coffee or tea? | Кофе или чай?
had — имел | She had a plan. | У неё был план.
by — к | Made by hand. | Сделано вручную.
word — слово | Spell the word. | Произнеси слово.
but — но | Small but strong. | Маленький, но сильный.
not — нет | Do not worry. | Не волнуйся.
what — что | What is this? | Что это?
were — были | They were here. | Они были здесь.
when — когда | When is lunch? | Когда обед?
can — может | He can run. | Он может бежать.
said — сказал | She said yes. | Она сказала «да».
there — там | The key is there. | Ключ там.
use — использовать | Use this tool. | Используй этот инструмент.
zero — нуль | Temperature is zero. | Температура ноль.
each — каждый | Each day counts. | Каждый день важен.
which — который | Which one? | Какой из?
do — делать | Do your best. | Делай лучшее.
how — как | How are you? | Как дела?
if — если | If it rains… | Если пойдёт дождь…
will — воля | Will you come? | Придёшь?
up — вверх | Look up! | Посмотри вверх!
about — о | Talk about work. | Говори о работе.
out — вне | Go out now. | Выйди сейчас.
many — много | Many people came. | Пришло много людей.
then — затем | Then we left. | Потом мы ушли.
these — эти | Take these keys. | Возьми эти ключи.
so — так | I think so. | Я так думаю.
some — некоторый | Need some help. | Нужна помощь.
would — бы | I would stay. | Я бы остался.
make — делать | Make a wish. | Загадай желание.
like — нравиться | I like it. | Мне это нравится.
into — в | Jump into water. | Прыгни в воду.
time — время | Time flies. | Время летит.
has — имеет | She has ideas. | У неё есть идеи.
look — смотреть | Look ahead. | Смотри вперёд.
more — более | Need more info. | Нужно больше данных.
write — писать | Write it down. | Запиши это.
go — идти | Go home. | Иди домой.
see — видеть | I see you. | Я вижу тебя.
number — число | Pick a number. | Выбери число.
no — нет | No problem. | Нет проблемы.
way — способ | Find a way. | Найди способ.
could — мог | I could help. | Я мог бы помочь.
people — люди | People laughed. | Люди смеялись.
than — чем | Faster than me. | Быстрее меня.
water — вода | Drink water. | Пей воду.
been — был | I’ve been there. | Я там был.
call — вызов | Call me later. | Позвони мне позже.
who — кто | Who is he? | Кто он?
oil — масло | Add some oil. | Добавь масло.
now — сейчас | Start now. | Начни сейчас.
find — находить | Find the key. | Найди ключ.
long — длинный | A long road. | Длинная дорога.
down — вниз | Sit down. | Сядь.
day — день | Good day! | Хорошего дня!
did — делал | What did you do? | Что ты сделал?
get — получать | Get a ticket. | Получи билет.
come — приходить | Come here. | Иди сюда.
made — сделал | She made coffee. | Она сделала кофе.
may — может | May I help? | Могу я помочь?
part — часть | My part is small. | Моя часть мала.
over — над | Clouds over us. | Облака над нами.
say — сказать | Say hello. | Скажи привет.
set — набор | Set the alarm. | Поставь будильник.
new — новый | New idea came. | Пришла новая идея.
great — большой | Great job! | Отличная работа!
put — помещать | Put it away. | Убери это.
sound — звук | Hear that sound. | Слышишь звук?
where — где | Where are we? | Где мы?
end — конец | The end. | Конец.
take — брать | Take a break. | Сделай паузу.
help — помощь | Need help? | Нужна помощь?
does — делает | What does it mean? | Что это значит?
only — только | Only you. | Только ты.
through — через | Walk through door. | Пройди через дверь.
little — маленький | A little cat. | Маленький котёнок.
much — много | Much better! | Гораздо лучше!
well — хорошо | Sleep well. | Спи хорошо.
work — работа | Work hard. | Работай усердно.
